[0.007s][info][gc] Using Concurrent Mark Sweep
[3.685s][info ][safepoint    ] Total time for which application threads were stopped: 0.0078243 seconds, Stopping threads took: 0.0000331 seconds
[3.685s][info ][gc           ] GC(1) Concurrent Mark
[3.686s][info ][safepoint    ] Application time: 0.0010447 seconds
[3.686s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.686s][info ][safepoint    ] Leaving safepoint region
[3.686s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001723 seconds, Stopping threads took: 0.0001048 seconds
[3.686s][info ][safepoint    ] Application time: 0.0000658 seconds
[3.686s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.686s][info ][safepoint    ] Leaving safepoint region
[3.686s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000736 seconds, Stopping threads took: 0.0000327 seconds
[3.686s][info ][safepoint    ] Application time: 0.0000674 seconds
[3.686s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.686s][info ][safepoint    ] Leaving safepoint region
[3.686s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000656 seconds, Stopping threads took: 0.0000288 seconds
[3.712s][info ][gc           ] GC(1) Concurrent Mark 27.132ms
[3.712s][info ][gc,cpu       ] GC(1) User=0.09s Sys=0.00s Real=0.03s
[3.712s][info ][gc           ] GC(1) Concurrent Preclean
[3.712s][debug][gc,ref       ] GC(1) Preclean SoftReferences 0.001ms
[3.712s][debug][gc,ref       ] GC(1) Preclean WeakReferences 0.000ms
[3.712s][debug][gc,ref       ] GC(1) Preclean FinalReferences 0.001ms
[3.712s][debug][gc,ref       ] GC(1) Preclean PhantomReferences 0.000ms
[3.713s][info ][gc           ] GC(1) Concurrent Preclean 0.845ms
[3.713s][info ][gc,cpu       ] GC(1) User=0.00s Sys=0.00s Real=0.00s
[3.713s][info ][gc           ] GC(1) Concurrent Abortable Preclean
[3.730s][info ][safepoint    ] Application time: 0.0443491 seconds
[3.731s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.731s][info ][safepoint    ] Leaving safepoint region
[3.731s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002172 seconds, Stopping threads took: 0.0001486 seconds
[3.743s][info ][safepoint    ] Application time: 0.0120694 seconds
[3.743s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.743s][info ][safepoint    ] Leaving safepoint region
[3.743s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000769 seconds, Stopping threads took: 0.0000086 seconds
[3.765s][info ][safepoint    ] Application time: 0.0223246 seconds
[3.765s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
